,Date,PX_LAST,PX_VOLUME
164,9/3/2021,631.43,55036295
165,9/2/2021,635.14,60338676
166,9/1/2021,633.34,72479245
167,8/31/2021,637.26,104264214
168,8/30/2021,637.82,56313641
169,8/27/2021,647.31,58078358
170,8/26/2021,638.94,57071846
171,8/25/2021,642.38,66744027
172,8/24/2021,634.7,51628229
173,8/23/2021,630.48,54820005
174,8/20/2021,625.58,66062775
175,8/19/2021,621.73,72926098
176,8/18/2021,626.5,63049553
177,8/17/2021,633.85,63223422
178,8/16/2021,639.24,63828694
179,8/13/2021,640.34,52814509
180,8/12/2021,645.03,55492979
181,8/11/2021,644.21,68201747
182,8/10/2021,636.79,65741591
183,8/9/2021,630.43,67414993
184,8/6/2021,628.53,75683866
185,8/5/2021,616.13,63599000
186,8/4/2021,608.59,70186714
187,8/3/2021,613.24,73055949
188,8/2/2021,606.39,69940671
189,7/30/2021,606.9,104590280
190,7/29/2021,611.36,72218756
191,7/28/2021,604.91,71342715
192,7/27/2021,606.18,62752846
193,7/26/2021,605.89,65120683
194,7/23/2021,602.61,59454075
195,7/22/2021,601.84,65123826
196,7/21/2021,608.14,75578701
197,7/20/2021,597.93,87011367
198,7/19/2021,583.81,104815056
199,7/16/2021,600.62,84006730
200,7/15/2021,608.77,73062514
201,7/14/2021,606.49,91150828
202,7/13/2021,609.5,67688313
203,7/12/2021,616.06,69110312
204,7/9/2021,610.19,76152278
205,7/8/2021,593.17,83916340
206,7/7/2021,605.06,71425874
207,7/6/2021,604.53,79549380
208,7/2/2021,614.07,50641306
209,7/1/2021,615.32,55000244
210,6/30/2021,610.6,72432018
211,6/29/2021,607.77,67732936
212,6/28/2021,609.78,71633809
213,6/25/2021,614.75,137417907
214,6/24/2021,607.15,69999815
215,6/23/2021,599.89,63170918
216,6/22/2021,598.25,76171694
217,6/21/2021,597.63,93424238
218,6/18/2021,583.92,279934519
219,6/17/2021,598.57,113940185
220,6/16/2021,616.68,96948814
221,6/15/2021,617.55,72803460
222,6/14/2021,616.14,78981996
223,6/11/2021,622.55,62908006
224,6/10/2021,618.8,65218033
225,6/9/2021,625.81,62056635
226,6/8/2021,632.49,131908317
227,6/7/2021,633.74,56863984
228,6/4/2021,637.75,52506301
229,6/3/2021,636.58,59476938
230,6/2/2021,635.04,64942990
231,6/1/2021,634.27,72185510
232,5/28/2021,630.13,72244658
233,5/27/2021,629.92,171197286
234,5/26/2021,622.53,79914000
235,5/25/2021,620.46,75736954
236,5/24/2021,626.48,54816953
237,5/21/2021,623.58,77206804
238,5/20/2021,618.02,60142796
239,5/19/2021,617.45,81882637
240,5/18/2021,621.39,62809827
241,5/17/2021,629.87,57499678
242,5/14/2021,629.04,56815282
243,5/13/2021,619.5,72697753
244,5/12/2021,608.11,78524795
245,5/11/2021,616.09,67136368
246,5/10/2021,626.55,67938116
247,5/7/2021,627.29,64695007
248,5/6/2021,623.92,70103222
249,5/5/2021,615.12,62772057
250,5/4/2021,609.4,78506363
251,5/3/2021,605.19,63140718
252,4/30/2021,601.98,104567551
253,4/29/2021,607.79,69406436
254,4/28/2021,596.94,62733508
255,4/27/2021,595.27,66770746
256,4/26/2021,589.93,70686318
257,4/23/2021,587.97,75541950
258,4/22/2021,577.31,72315329
259,4/21/2021,583.77,68335981
260,4/20/2021,575.78,69919873
261,4/19/2021,586.42,70464641
262,4/16/2021,588.09,93343588
263,4/15/2021,584.25,89490840
264,4/14/2021,584.87,73541661
265,4/13/2021,581.01,64384328
266,4/12/2021,586.42,57378601
267,4/9/2021,583.88,62954648
268,4/8/2021,578.91,60850005
269,4/7/2021,578.95,51331489
270,4/6/2021,576.59,59741773
271,4/5/2021,577.22,71259110
272,4/1/2021,572.97,66667836
273,3/31/2021,565.72,96063787
274,3/30/2021,570.85,68488318
275,3/29/2021,566.8,75282274
276,3/26/2021,572.1,77671938
277,3/25/2021,562.53,74328780
278,3/24/2021,553.81,69418057
279,3/23/2021,551.41,81475742
280,3/22/2021,559.29,78519980
281,3/19/2021,566.65,370837478
282,3/18/2021,573.52,98638542
283,3/17/2021,570.31,79449795
284,3/16/2021,566.63,74239150
285,3/15/2021,573.09,69420028
286,3/12/2021,576.35,65615005
287,3/11/2021,570.15,67727871
288,3/10/2021,571.75,78745170
289,3/9/2021,561,82664611
290,3/8/2021,565.84,86141431
291,3/5/2021,558.63,95661540
292,3/4/2021,548.17,102960169
293,3/3/2021,554.87,83582829
294,3/2/2021,550.72,71691523
295,3/1/2021,552.37,79581821
296,2/26/2021,535.64,126951712
297,2/25/2021,546.42,79818466
298,2/24/2021,556.51,81710900
299,2/23/2021,545.54,87077190
300,2/22/2021,542.84,88206113
301,2/19/2021,537.59,78381414
302,2/18/2021,531.43,62373049
303,2/17/2021,534.08,73022063
304,2/16/2021,532.19,78317327
305,2/12/2021,522.92,55118664
306,2/11/2021,518.02,57975693
307,2/10/2021,519.17,62856343
308,2/9/2021,519.49,56561610
309,2/8/2021,518.95,68242942
310,2/5/2021,512.69,58132839
311,2/4/2021,512.25,75308281
312,2/3/2021,500.85,71984493
313,2/2/2021,498.3,75784629
314,2/1/2021,486.35,67418480
315,1/29/2021,480.98,140188740
316,1/28/2021,490.9,90565221
317,1/27/2021,481.67,102810472
318,1/26/2021,496.25,64200446
319,1/25/2021,500.26,82295009
320,1/22/2021,504.11,84349217
321,1/21/2021,507.78,77643925
322,1/20/2021,513.19,92850058
323,1/19/2021,515.6,99879826
324,1/15/2021,513.38,117724236
325,1/14/2021,522.77,78927126
326,1/13/2021,520.14,69507787
327,1/12/2021,520.91,87687315
328,1/11/2021,515.43,72687824
329,1/8/2021,513.24,74603748
330,1/7/2021,514.23,96855389
331,1/6/2021,506.78,126211293
332,1/5/2021,485.6,73461910
333,1/4/2021,483.8,94249116
334,12/31/2020,490.43,56198124
335,12/30/2020,484.02,46198289
336,12/29/2020,482.11,46580810
337,12/28/2020,483.77,51817542
338,12/24/2020,481.31,25906718
339,12/23/2020,480.95,66326335
340,12/22/2020,473.37,76315594
341,12/21/2020,477.98,111407266
342,12/18/2020,472.13,278736698
343,12/17/2020,475.85,83914366
344,12/16/2020,474.19,80736397
345,12/15/2020,473.62,76435935
346,12/14/2020,465.81,84438545
347,12/11/2020,471.58,64503090
348,12/10/2020,476.18,79186694
349,12/9/2020,475.41,82105500
350,12/8/2020,476.39,63635383
351,12/7/2020,476.67,71605997
352,12/4/2020,480.05,72298505
353,12/3/2020,474.69,72571585
354,12/2/2020,474.66,78486234
355,12/1/2020,469.71,80431949
356,11/30/2020,462.45,185270143
357,11/27/2020,471.52,37603788
358,11/25/2020,473.5,77100990
359,11/24/2020,475.46,100094617
360,11/23/2020,459.26,67315666
361,11/20/2020,450.77,75823243
362,11/19/2020,454.78,69471683
363,11/18/2020,453.45,72938230
364,11/17/2020,457.62,72258841
365,11/16/2020,458.56,84865374
366,11/13/2020,448.35,68520722
367,11/12/2020,441.35,82185444
368,11/11/2020,448.89,78299576
369,11/10/2020,451.14,104771614
370,11/9/2020,447.89,174293866
371,11/6/2020,414.07,73007979
372,11/5/2020,417.44,81608650
373,11/4/2020,407.42,99499773
374,11/3/2020,412.65,86496178
375,11/2/2020,403.78,79677017
376,10/30/2020,396.09,108755036
377,10/29/2020,395.01,78526288
378,10/28/2020,392.35,102079689
379,10/27/2020,402.27,71638729
380,10/26/2020,410.1,73635674
381,10/23/2020,419.47,62045459
382,10/22/2020,417.99,73106881
383,10/21/2020,410.28,68865139
384,10/20/2020,412.01,69648298
385,10/19/2020,408.67,71615076
386,10/16/2020,415.21,80641591
387,10/15/2020,414.87,75947448
388,10/14/2020,411.55,86318549
389,10/13/2020,415.99,75187912
390,10/12/2020,423.89,71442990
391,10/9/2020,419.12,65308535
392,10/8/2020,418.84,67322677
393,10/7/2020,413.23,77348127
394,10/6/2020,406.16,91425909
395,10/5/2020,410.41,114773296
396,10/2/2020,404,67466992
397,10/1/2020,401.18,88009342
398,9/30/2020,400.28,103034914
399,9/29/2020,395.37,64612491
400,9/28/2020,399.97,79866610
401,9/25/2020,391.1,64729283
402,9/24/2020,386.97,76937560
403,9/23/2020,386.22,94376896
404,9/22/2020,394.88,101686178
405,9/21/2020,398.24,123930668
406,9/18/2020,408.43,273035485
407,9/17/2020,409.42,99682236
408,9/16/2020,413.56,100693743
409,9/15/2020,409.04,82447135
410,9/14/2020,414.7,83973831
411,9/11/2020,409.33,68627912
412,9/10/2020,406.25,76981903
413,9/9/2020,412.07,72752810
414,9/8/2020,408.34,98122046
415,9/4/2020,419.21,89249294
416,9/3/2020,415.99,91839011
417,9/2/2020,422.68,66963809
418,9/1/2020,416.43,59298962
419,8/31/2020,415.53,84418096
420,8/28/2020,420.73,60097255
421,8/27/2020,418.84,62359562
422,8/26/2020,411.67,55498079
423,8/25/2020,413.65,58412481
424,8/24/2020,412.53,67066522
425,8/21/2020,403.18,66574194
426,8/20/2020,404.26,55939663
427,8/19/2020,407.91,62041980
428,8/18/2020,408.22,54748960
429,8/17/2020,410.98,66254747
430,8/14/2020,417.39,52965964
431,8/13/2020,416.33,50857622
432,8/12/2020,418.9,66989516
433,8/11/2020,420.12,76404877
434,8/10/2020,414.73,69786133
435,8/7/2020,412.08,66521079
436,8/6/2020,403.29,60540044
437,8/5/2020,403.89,61770468
438,8/4/2020,398.07,54750822
439,8/3/2020,399.83,68605311
440,7/31/2020,399.06,121296933
441,7/30/2020,399.02,66906964
442,7/29/2020,406.48,67834023
443,7/28/2020,398.45,57231625
444,7/27/2020,399.58,63941128
445,7/24/2020,402.85,58943587
446,7/23/2020,404.33,72336003
447,7/22/2020,403.61,65834410
448,7/21/2020,403.96,81386281
449,7/20/2020,396.4,66322501
450,7/17/2020,397.87,82947218
451,7/16/2020,401.26,66043827
452,7/15/2020,401.47,82918602
453,7/14/2020,393.95,94152242
454,7/13/2020,391.22,83030741
455,7/10/2020,389.97,77297683
456,7/9/2020,376.87,75681693
457,7/8/2020,385.14,77151877
458,7/7/2020,381.12,73225553
459,7/6/2020,389.19,84440502
